pca1,pca2,region_name,geography_name,geography_code,region_code
-8019.220110898685,-812.5406928924764,South East,South Oxfordshire,E07000179,E12000008
-18915.105823814025,-1104.5275297163114,South East,Vale of White Horse,E07000180,E12000008
-28478.34556727544,1453.7059839348956,South East,West Oxfordshire,E07000181,E12000008
-17200.041327777246,-3637.2738551409825,South East,Elmbridge,E07000207,E12000008
-58554.963798078796,-4037.019496086407,South East,Epsom and Ewell,E07000208,E12000008
-9326.158713281859,-4506.6029704278535,South East,Guildford,E07000209,E12000008
-51323.95452204249,-3500.397509024952,South East,Mole Valley,E07000210,E12000008
-7306.006862288296,-2964.272844146281,South East,Reigate and Banstead,E07000211,E12000008
-54026.894542893286,-1807.5569382856281,South East,Runnymede,E07000212,E12000008
-39954.463309844374,-869.0609447579702,South East,Spelthorne,E07000213,E12000008
-47531.008136442746,-1869.0894151428517,South East,Surrey Heath,E07000214,E12000008
-52036.83346678732,-2515.146451108251,South East,Tandridge,E07000215,E12000008
-24818.907831708235,-2570.5056816632305,South East,Waverley,E07000216,E12000008
-38805.000230309815,-5091.686230997986,South East,Woking,E07000217,E12000008
-71745.10171124144,-4042.0308000856926,South East,Adur,E07000223,E12000008
-11443.76614222366,2969.3519777195215,South East,Arun,E07000224,E12000008
-33469.09444084481,738.4895685412716,South East,Chichester,E07000225,E12000008
-33561.49657262796,-4672.543568892819,South East,Crawley,E07000226,E12000008
-14048.955222776056,-754.7524169958151,South East,Horsham,E07000227,E12000008
-5418.737889781645,-2248.0243095853443,South East,Mid Sussex,E07000228,E12000008
-39343.997736058,-3869.7203411867354,South East,Worthing,E07000229,E12000008
13078.243753950677,-5648.784059887877,South West,Bath and North East Somerset,E06000022,E12000009
19373.519030106934,-5656.357980221036,South West,Bournemouth,E06000028,E12000009
196830.53576340806,-31878.320183427313,South West,"Bristol, City of",E06000023,E12000009
261298.89269015656,11953.509538780872,South West,Cornwall,E06000052,E12000009
-114941.30516287399,-4920.690463164671,South West,Isles of Scilly,E06000053,E12000009
34266.14169915547,552.8515756950527,South West,North Somerset,E06000024,E12000009
64594.94335740711,4408.2743238807425,South West,Plymouth,E06000026,E12000009
-6031.346289310143,-189.097210514736,South West,Poole,E06000029,E12000009
93622.14827986427,2577.198490136006,South West,South Gloucestershire,E06000025,E12000009
50690.29221786827,195.25145943989602,South West,Swindon,E06000030,E12000009
-27782.0889340328,1114.5913509936952,South West,Torbay,E06000027,E12000009
255244.81488326055,22139.25626771413,South West,Wiltshire,E06000054,E12000009
-23308.701831652674,1342.0880860538166,South West,East Devon,E07000040,E12000009
-29601.39660219252,-5746.734642587399,South West,Exeter,E07000041,E12000009
-57027.50680944155,-585.6460530260288,South West,Mid Devon,E07000042,E12000009
-47404.08419808205,-501.7132762214604,South West,North Devon,E07000043,E12000009
-54859.400961786436,-1903.462785064615,South West,South Hams,E07000044,E12000009
-25202.841633374373,-46.76960588598875,South West,Teignbridge,E07000045,E12000009
-71022.0361705158,-893.3271325790781,South West,Torridge,E07000046,E12000009
-77555.22994489271,-1958.6764699504197,South West,West Devon,E07000047,E12000009
-85133.2488821143,-2840.3593919440314,South West,Christchurch,E07000048,E12000009
-54179.95359884148,-255.53896397036164,South West,East Dorset,E07000049,E12000009
-64552.44428790245,416.21384725513275,South West,North Dorset,E07000050,E12000009
-83472.07498187842,-2278.4664138013377,South West,Purbeck,E07000051,E12000009
