lda1,lda2,region_name,geography_name,geography_code,region_code
-0.7423584407918122,0.9014121138146155,East Midlands,North West Leicestershire,E07000134,E12000004
-1.8107226369764695,0.1321735144033328,East Midlands,Oadby and Wigston,E07000135,E12000004
-0.873863977049238,1.1358683148053115,East Midlands,Boston,E07000136,E12000004
-2.5987041156402118,-0.5808462490036481,East Midlands,East Lindsey,E07000137,E12000004
-0.8501263710646447,-0.2644443783674593,East Midlands,Lincoln,E07000138,E12000004
-2.794773201757927,-1.9275905404494227,East Midlands,North Kesteven,E07000139,E12000004
-0.9689339110223734,1.2740953340876806,East Midlands,South Holland,E07000140,E12000004
-2.761673637956237,-1.177387621080698,East Midlands,South Kesteven,E07000141,E12000004
-0.8840124657705268,-0.9947344119447036,East Midlands,West Lindsey,E07000142,E12000004
-3.728556038155736,2.1053431919256673,East Midlands,Corby,E07000150,E12000004
-1.565217454688697,1.2243362008116727,East Midlands,Daventry,E07000151,E12000004
0.29322571239638506,1.644584367097393,East Midlands,East Northamptonshire,E07000152,E12000004
-3.3086117937536015,-0.805914097056043,East Midlands,Kettering,E07000153,E12000004
-0.9445028491321742,0.6526037487006928,East Midlands,Northampton,E07000154,E12000004
-2.3872905958682287,0.6072810749644617,East Midlands,South Northamptonshire,E07000155,E12000004
-3.225446727341381,0.11557378150818864,East Midlands,Wellingborough,E07000156,E12000004
-1.905402989477539,-1.4169471889721685,East Midlands,Ashfield,E07000170,E12000004
0.4162408250507723,-1.232544931962167,East Midlands,Bassetlaw,E07000171,E12000004
-2.3379227999100847,-1.3902597687820624,East Midlands,Broxtowe,E07000172,E12000004
-1.5166390451825673,0.8986906064480158,East Midlands,Gedling,E07000173,E12000004
-2.7277672138750453,-0.008743910783515725,East Midlands,Mansfield,E07000174,E12000004
-1.1669171824684543,-0.1084243314722304,East Midlands,Newark and Sherwood,E07000175,E12000004
-2.077255252488979,1.6989725103532813,East Midlands,Rushcliffe,E07000176,E12000004
-5.256351431995681,-0.7435342701186262,West Midlands,"Herefordshire, County of",E06000019,E12000005
-4.026663671902298,0.6541061828082102,West Midlands,Shropshire,E06000051,E12000005
-5.236441813175335,-1.8650517412897412,West Midlands,Stoke-on-Trent,E06000021,E12000005
-3.610051127857756,-1.369711573061276,West Midlands,Telford and Wrekin,E06000020,E12000005
-3.913942883655435,-0.13383340248529274,West Midlands,Cannock Chase,E07000192,E12000005
-7.352292943850377,-0.8622782775879335,West Midlands,East Staffordshire,E07000193,E12000005
-4.688689692301101,0.13253835346978896,West Midlands,Lichfield,E07000194,E12000005
-4.743827732797561,-1.864123256048648,West Midlands,Newcastle-under-Lyme,E07000195,E12000005
-6.502692815516861,0.9594546866749529,West Midlands,South Staffordshire,E07000196,E12000005
-3.662654819893006,0.5729149027288474,West Midlands,Stafford,E07000197,E12000005
-4.7911556091677205,-1.441541525344644,West Midlands,Staffordshire Moorlands,E07000198,E12000005
-4.134312651367049,-0.4474218990100826,West Midlands,Tamworth,E07000199,E12000005
-5.257070246535575,-1.8387023620826983,West Midlands,North Warwickshire,E07000218,E12000005
-4.493155270049359,-0.07183804778154207,West Midlands,Nuneaton and Bedworth,E07000219,E12000005
-4.4185064035428665,-2.932173393067208,West Midlands,Rugby,E07000220,E12000005
-3.5472557562537883,-0.4709134396346716,West Midlands,Stratford-on-Avon,E07000221,E12000005
-4.594272581734306,-0.9453276582019705,West Midlands,Warwick,E07000222,E12000005
-4.822252692504151,-0.8175570190398229,West Midlands,Birmingham,E08000025,E12000005
-4.838670491086871,-0.12259899201081817,West Midlands,Coventry,E08000026,E12000005
-4.260176198644867,-0.863498588096755,West Midlands,Dudley,E08000027,E12000005
-5.279961087490923,-1.1834900201226288,West Midlands,Sandwell,E08000028,E12000005
-4.87824191270722,-1.3141002040562142,West Midlands,Solihull,E08000029,E12000005
-3.97066416427189,-0.43541377444352874,West Midlands,Walsall,E08000030,E12000005
-4.6081279988958315,-0.4711517009316422,West Midlands,Wolverhampton,E08000031,E12000005
-3.5847390868862314,-1.356132252261021,West Midlands,Bromsgrove,E07000234,E12000005
-4.629972683050077,0.394062160181035,West Midlands,Malvern Hills,E07000235,E12000005
-4.385773343670234,-1.2379773226200987,West Midlands,Redditch,E07000236,E12000005
-6.547145641609665,0.09526115512832434,West Midlands,Worcester,E07000237,E12000005
-5.045938997933284,-0.5667196393921113,West Midlands,Wychavon,E07000238,E12000005
-4.657210633278042,0.5610830479068056,West Midlands,Wyre Forest,E07000239,E12000005
-4.05198456517705,7.027199632075588,East,Bedford,E06000055,E12000006
-4.145554089117605,7.244789413447792,East,Central Bedfordshire,E06000056,E12000006
-3.0223095404979547,7.07847939494696,East,Luton,E06000032,E12000006
-4.019313095748507,6.430550503757375,East,Peterborough,E06000031,E12000006
-3.7975502023760797,6.168214850586827,East,Southend-on-Sea,E06000033,E12000006
-1.8785891781763968,8.375328629617702,East,Thurrock,E06000034,E12000006
-2.2647732425972964,7.163292576732359,East,Cambridge,E07000008,E12000006
-1.6526466072764745,6.498547290917254,East,East Cambridgeshire,E07000009,E12000006
-3.5574294235013793,7.468563503475697,East,Fenland,E07000010,E12000006
-1.7557574480201898,7.196016773930807,East,Huntingdonshire,E07000011,E12000006
-4.003911962062376,7.761951806762223,East,South Cambridgeshire,E07000012,E12000006
-1.8618454954837347,8.365082565721977,East,Basildon,E07000066,E12000006
-2.7353202880151217,9.551899507756898,East,Braintree,E07000067,E12000006
-4.64144927026307,6.830681473631198,East,Brentwood,E07000068,E12000006
-1.794374142882317,7.9245869701724745,East,Castle Point,E07000069,E12000006
-2.1379531685043442,7.4527160976175235,East,Chelmsford,E07000070,E12000006
-2.9734658585936944,9.190823369778666,East,Colchester,E07000071,E12000006
-2.1106289367180393,7.333355107867855,East,Epping Forest,E07000072,E12000006
-3.9475597942709904,4.501295853051731,East,Harlow,E07000073,E12000006
-3.620982384951341,5.9124287827072175,East,Maldon,E07000074,E12000006
-3.9339184487528196,6.63124393506608,East,Rochford,E07000075,E12000006
-3.483999900061858,5.55136968504002,East,Tendring,E07000076,E12000006
